decision,decorative_score,reasons,path,document,page_number,size_bytes,sha256,pixel_width,pixel_height,bbox_width,bbox_height,bbox_area_ratio,unique_sample_colors,dominant_color_ratio,white_or_transparent_ratio,transparent_ratio,luminance_stddev,decode_error
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile17.png,ey-assurance-eye-reporting-insights-april-2025,20,261960,60c1388ba7ff2aab0700f77d0efa5e8df2e45d32a91e2270ad4568e24f5d05ba,496,277,248.163,138.534,0.095171,5616,0.024078,0.027419,0.0,71.818864,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile18.png,ey-assurance-eye-reporting-insights-april-2025,24,316151,bc095120af59880593a97073fa8a78f86f6d97722668b1679796a88533256053,498,363,249.184,181.664,0.135302,4694,0.039315,0.068904,0.0,85.276539,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile19.png,ey-assurance-eye-reporting-insights-april-2025,25,648736,238eb934f793120b711796ce3c07cadf39b0e7a33780bdf37e3e44c4caa4ac5b,1033,483,516.631,241.617,0.431393,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile2.png,ey-assurance-eye-reporting-insights-april-2025,2,703641,3666ef1f081bb3d31c58cdf8738f3476df7aee926b19c3c8d7e5833f5e8a5e84,383,1683,192.733,843.966,0.34782,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile20.png,ey-assurance-eye-reporting-insights-april-2025,26,1276830,b4dcc56b3c5bf613d7fb83d615b501d004b3db1040a0a8ed4d6a220a2a6c9acb,614,1473,308.266,736.373,0.615359,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-assurance-eye-reporting-insights-april-2025_images/imageFile21.png,ey-assurance-eye-reporting-insights-april-2025,27,2722976,a14bd96740336d704c65e5b66795262b47c29141d89437032fe98689ecfa157d,1190,1683,597.432,844.142,1.0,,,,,,pixel_sampling_skipped_large_png
drop,10,tiny_file|tiny_pixel_asset|tiny_bbox|header_footer_or_margin,ey-assurance-eye-reporting-insights-april-2025_images/imageFile22.png,ey-assurance-eye-reporting-insights-april-2025,28,445,32422f25d973755eb7f68382bfeae512cb83a75ff1c7df82a8bb4d77f25eed7e,24,24,12.158,12.158,0.000735,69,0.809028,0.052083,0.0,71.524347,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile3.png,ey-assurance-eye-reporting-insights-april-2025,3,1078590,39d42c1300d7b18b073a4579e96941027361c774ed28ae14720ac35776e43bbb,1190,610,597.359,306.434,0.449356,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile4.png,ey-assurance-eye-reporting-insights-april-2025,4,300208,d16de28afeab9beabad6f8a2b7590a95af9f4bdd0be8a69aeb1163d565319881,501,492,250.258,245.849,0.190128,2538,0.024535,0.135598,0.0,43.628439,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile5.png,ey-assurance-eye-reporting-insights-april-2025,5,165696,5c52698a45e27cffa46e32c3daa663c44b4822fcb4a31a98b8990c64f44e7795,495,177,247.638,88.501,0.070937,6180,0.022907,0.023215,0.0,83.765733,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile6.png,ey-assurance-eye-reporting-insights-april-2025,7,227054,be723fc58774d02a53fd689a05b58242047a97d249901ba9cb8c3d65bd730786,495,193,247.484,96.305,0.070392,7484,0.038042,0.041119,0.0,72.623101,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile7.png,ey-assurance-eye-reporting-insights-april-2025,9,284815,666268ba1049571b146fda1d29e7905b8e30da01fda58536b149b32fd75d8975,499,487,249.678,243.559,0.180831,3780,0.053571,0.035714,0.0,58.492207,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile8.png,ey-assurance-eye-reporting-insights-april-2025,10,1217888,b9fd0591289117e3c2a1e7f609abd561a1232d811b7dd02cf0f62aef7b4baabd,1190,678,597.346,340.344,0.475736,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile9.png,ey-assurance-eye-reporting-insights-april-2025,11,312874,1cf4eda29c937d6cbd5c2cdf82d741760f69b097d881fbb3c52ab3607226f275,496,407,248.1,203.385,0.156541,4445,0.07878,0.02061,0.0,70.25501,
review,3,page_background_with_text_layer,ey-ceo-outlook-pulse-survey-global-report-january-2025_images/imageFile1.png,ey-ceo-outlook-pulse-survey-global-report-january-2025,1,3808193,7dd4e235455e5fb514d0e466dee1c626fa52d507906c30ed4340899d75cb0f6a,1190,1683,597.644,844.133,1.0,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-ceo-outlook-pulse-survey-global-report-january-2025_images/imageFile2.png,ey-ceo-outlook-pulse-survey-global-report-january-2025,2,3350957,fc17c1bfb7cd7821a93375a8d9b5b45f2b19338f0a129b16d597ddc16ad09700,1190,1683,597.456,843.984,1.0,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-ceo-outlook-pulse-survey-global-report-january-2025_images/imageFile3.png,ey-ceo-outlook-pulse-survey-global-report-january-2025,4,1650356,5a48ca32ae5b8b468e5301979716cb3566abe13875653a15594c89d86bcd9dc9,1190,1683,597.586,844.151,1.0,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-ceo-outlook-pulse-survey-global-report-january-2025_images/imageFile4.png,ey-ceo-outlook-pulse-survey-global-report-january-2025,5,2836761,310bd83eb7721befc9c873cc6e050cec87d7092745fa6be265c32fe925b78dea,1190,1683,597.587,844.151,1.0,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-ceo-outlook-pulse-survey-global-report-january-2025_images/imageFile5.png,ey-ceo-outlook-pulse-survey-global-report-january-2025,6,1297502,f8837a71f9c3e76aaecc5bceaafebe7af8179c534489c45cf5d5c868e3dc04b9,1190,449,597.434,225.706,0.324625,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-ceo-outlook-pulse-survey-global-report-january-2025_images/imageFile6.png,ey-ceo-outlook-pulse-survey-global-report-january-2025,11,1186811,dfa82a1c0a1d7baa9c9de8761e27ff7da68dc234a4574ca2bc8c4dc1e81eac87,1190,449,596.28,225.72,0.429841,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-ceo-outlook-pulse-survey-global-report-january-2025_images/imageFile7.png,ey-ceo-outlook-pulse-survey-global-report-january-2025,14,2580740,b72e9f5dd0167ef10a404d4ba51d5ba4dc9d02fab0601923cc3ce8c6f839b6e7,1190,1683,597.651,844.137,1.0,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-ceo-outlook-pulse-survey-global-report-january-2025_images/imageFile8.png,ey-ceo-outlook-pulse-survey-global-report-january-2025,15,2960944,d6303512c88a250004207fa0430440a3aeaee872ab034834994e99d3aca602fc,1190,1683,597.651,844.137,1.0,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile1.png,ey-frd-series-spring-2025,1,2466392,78ecc18b53ef2f970d37d9eebfa41b854265573a7e87b6382d8329caf7374e02,1920,1078,960.0,539.25,1.0,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile10.png,ey-frd-series-spring-2025,6,288395,5a4d6df4ab63075be183ae47f222afac91232be5b8581b2da98c13a77f1313ea,1919,1080,960.0,540.0,1.0,,,,,,pixel_sampling_skipped_large_png
drop,7,tiny_file|small_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile100.png,ey-frd-series-spring-2025,12,664,0f2b8ada8079a74597e74fa7ce07f1016db3ac7937d893818362c3abfb4d8855,96,96,47.75,47.75,0.004398,49,0.853733,0.0,0.0,58.1646,
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile101.png,ey-frd-series-spring-2025,12,387,e30293ec0eb7ebc0d55d7a476cff8e1c5771d992e5f7fa3d65ec18253d101b91,45,59,22.265,29.685,0.001275,33,0.762712,0.0,0.0,70.248615,
candidate,0,,ey-frd-series-spring-2025_images/imageFile102.png,ey-frd-series-spring-2025,13,1092609,bc753530e5fd57612c0d97bcaa0012aec23f46a992222064e990182c1fc710af,761,1080,381.0,540.75,0.396875,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile103.png,ey-frd-series-spring-2025,13,1193667,8924e35662082fd61ec57af77ecf006f820ccaa82725a2800f554773eb130a6c,1919,1080,960.0,540.0,0.998613,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-frd-series-spring-2025_images/imageFile104.png,ey-frd-series-spring-2025,13,1092609,bc753530e5fd57612c0d97bcaa0012aec23f46a992222064e990182c1fc710af,761,1080,381.0,540.0,0.396325,,,,,,pixel_sampling_skipped_large_png
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile105.png,ey-frd-series-spring-2025,13,239,c01ec69f4c024bab103d266f5ea24992546f2d5b101383b1f7cbed2f22400c8a,23,84,11.256,42.208,0.000915,18,0.652692,0.0,0.0,59.56148,
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile106.png,ey-frd-series-spring-2025,13,209,a6db39a261cc7f6763f8d850476f9111499038578907f2f931f19d1408520a18,23,53,11.256,26.732,0.00058,17,0.626743,0.0,0.0,62.460602,
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile107.png,ey-frd-series-spring-2025,13,171,19ae6d68f4a8023b258e8fb54416d5f9fba92d85a517c2ba1291acc5be02ea4b,23,28,11.256,14.069,0.000305,16,0.614907,0.0,0.0,70.047736,
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile108.png,ey-frd-series-spring-2025,14,269108,c2c07bddd31a31f75570901af2a9466795af20fd9cc6d41a8f8a5e572f4b6438,1919,1080,960.0,540.0,1.0,,,,,,pixel_sampling_skipped_large_png
review,3,small_file|small_bbox,ey-frd-series-spring-2025_images/imageFile109.png,ey-frd-series-spring-2025,14,2701,58ac1eec1d19ae3c7434fd7501cc445874cc8e0a131125a594e4123468adb2d4,131,132,65.25,66.0,0.008307,34,0.817199,0.076799,0.0,41.778019,
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile11.png,ey-frd-series-spring-2025,6,333,6fd9721b434cd82847527bc4f8e33f1b722ca3d43e1187efb87b9250486f8fdd,148,16,74.22,8.0,0.001145,35,0.70228,0.0,0.0,43.5085,
review,3,small_file|small_bbox,ey-frd-series-spring-2025_images/imageFile110.png,ey-frd-series-spring-2025,14,2104,45b78c2f1601196df0876841fb178302570ccb5bd219b5a8cd78c411a4fc8a0c,122,117,60.75,58.5,0.006855,38,0.655387,0.12253,0.0,50.460378,
review,3,small_file|small_bbox,ey-frd-series-spring-2025_images/imageFile111.png,ey-frd-series-spring-2025,14,2314,f54bd5b1c6e07b2c1799a314d79beb432748f90f68c829950f09a38fcd640751,153,110,76.5,54.75,0.008079,73,0.773203,0.095722,0.0,45.937114,
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile112.png,ey-frd-series-spring-2025,15,669272,4495326582994cb2c47954878abb3454fcf63560af1b259933d1386ed13b8337,1919,1080,960.0,540.0,1.0,,,,,,pixel_sampling_skipped_large_png
drop,6,tiny_file|tiny_pixel_asset,ey-frd-series-spring-2025_images/imageFile113.png,ey-frd-series-spring-2025,,407,a1b0e370372a1f442c20511c3af760a3a15d4107d588fbfa8af784fef0cb2918,25,48,,,,44,0.578333,0.0,0.0,81.397867,
candidate,0,,ey-frd-series-spring-2025_images/imageFile114.png,ey-frd-series-spring-2025,15,352776,f85020a109cee67451e4c9350e88d2908403b509ffe07cef6c8373e7d4b165f0,407,738,203.25,369.0,0.144674,2631,0.049248,0.026383,0.0,43.56481,
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile115.png,ey-frd-series-spring-2025,16,661908,1f21f134a142afa6536112f0ab6e189dd71941e83c2ef2274969a0c34e208b4b,1919,1080,960.0,540.0,1.0,,,,,,pixel_sampling_skipped_large_png
drop,6,tiny_file|tiny_pixel_asset,ey-frd-series-spring-2025_images/imageFile116.png,ey-frd-series-spring-2025,,407,a1b0e370372a1f442c20511c3af760a3a15d4107d588fbfa8af784fef0cb2918,25,48,,,,44,0.578333,0.0,0.0,81.397867,
candidate,0,,ey-frd-series-spring-2025_images/imageFile117.png,ey-frd-series-spring-2025,16,352776,f85020a109cee67451e4c9350e88d2908403b509ffe07cef6c8373e7d4b165f0,407,738,203.25,369.0,0.144674,2631,0.049248,0.026383,0.0,43.56481,
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile118.png,ey-frd-series-spring-2025,17,305216,117fd9ebb682c94d33ffea9455930ee12774772cfbc45d781d001fc622e9e9e3,1919,1080,960.0,540.0,1.0,,,,,,pixel_sampling_skipped_large_png
drop,13,tiny_file|tiny_pixel_asset|thin_rule_or_strip|tiny_bbox|thin_bbox_strip,ey-frd-series-spring-2025_images/imageFile119.png,ey-frd-series-spring-2025,17,780,03eccfa734b95967ae6da67f33cb842b169e1a89c5d9f5126e2b40b5e06a86a6,1825,6,912.62,2.75,0.004841,10,0.561279,0.0,0.0,80.793278,
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile12.png,ey-frd-series-spring-2025,6,422,6c3111fbc10724016dfeeeaec7afdb96b2d52bc60a826ce0aec16f096065a8a8,148,16,74.21,8.0,0.001145,33,0.652027,0.0,0.0,53.117302,
review,3,small_file|small_bbox,ey-frd-series-spring-2025_images/imageFile120.png,ey-frd-series-spring-2025,17,2600,9ef5ac2ec520822ed74bae1e4eec78153e0de54455318a5c5369f03a5b714e30,135,85,67.694,42.283,0.005521,312,0.756688,0.000436,0.0,32.168884,
review,3,small_file|small_bbox,ey-frd-series-spring-2025_images/imageFile121.png,ey-frd-series-spring-2025,17,2963,0d141d5622d0629296813d0954bbeb314055389f5cf8112d1ff0fc0e58730067,135,85,67.703,42.283,0.005522,291,0.630065,0.006362,0.0,34.475553,
candidate,0,,ey-frd-series-spring-2025_images/imageFile122.png,ey-frd-series-spring-2025,17,7706,c35adaf001829cdb46d99f03b58d5df8b7fc51ebcd9b89ae8cfe492c14b28706,196,196,98.043,98.043,0.018542,398,0.744898,0.001041,0.0,34.331066,
candidate,0,,ey-frd-series-spring-2025_images/imageFile123.png,ey-frd-series-spring-2025,17,7646,6daf2bf245b21f5e5a5a6f539128c8817dbed03d4d4be5a6817065ac68666a9b,196,196,98.047,98.043,0.018543,317,0.687943,0.009996,0.0,37.434467,
candidate,0,,ey-frd-series-spring-2025_images/imageFile124.png,ey-frd-series-spring-2025,17,7188,0a6a2a2d5a8ff910fab03b092e92f4c3ba3f3a552d2ca6352eb34dc40955c5ec,202,164,101.1,81.794,0.015952,430,0.7532,0.00157,0.0,39.879653,
candidate,0,,ey-frd-series-spring-2025_images/imageFile125.png,ey-frd-series-spring-2025,17,6956,f5cac06de78869314940482fb71a19ca0a53c327242b56269d09fb9f51a9ff26,202,164,101.1,81.794,0.015952,316,0.697175,0.011471,0.0,42.85783,
drop,5,small_file|small_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile126.png,ey-frd-series-spring-2025,17,1829,9d3b9a1d50633b45e4cc1c04f8a31e6237a3d05c7317e46eef93f3eb0c423930,72,72,36.183,35.87,0.002504,193,0.777392,0.008681,0.0,55.51147,
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile127.png,ey-frd-series-spring-2025,17,419,b3967c2e4c546ec488c52186315d4f83815a00e23bdf07a7ff93759ae8891685,36,59,18.245,29.592,0.001041,49,0.562618,0.088512,0.0,76.808001,
candidate,0,,ey-frd-series-spring-2025_images/imageFile128.png,ey-frd-series-spring-2025,17,6020,64ba8b26cd07c26e122b70c06e8ac4d84df5103a7053f4532d424026f0cc2ff3,202,164,101.1,81.798,0.015953,319,0.762618,0.003622,0.0,40.180359,
candidate,0,,ey-frd-series-spring-2025_images/imageFile129.png,ey-frd-series-spring-2025,17,5942,2a926294cf3b667a8cd4901185e536711e75a506398330a7c0a8eefce71ba4a8,202,164,101.1,81.798,0.015953,222,0.676527,0.012195,0.0,42.687316,
drop,7,tiny_file|small_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile13.png,ey-frd-series-spring-2025,6,867,62fde0678306b8f3afdc056b9ee32388f1194e556dd46fc5c324549bb69850bd,57,74,28.295,37.116,0.002026,91,0.738265,0.07468,0.0,65.582176,
candidate,1,header_footer_or_margin,ey-frd-series-spring-2025_images/imageFile130.png,ey-frd-series-spring-2025,17,6703,0f5b3723f499516e4599c274ac6e1ed04468cc6e1876ffbfd0efce4a254e7dd6,196,196,98.043,98.045,0.018543,343,0.740837,0.004581,0.0,36.872799,
drop,8,tiny_file|tiny_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile131.png,ey-frd-series-spring-2025,17,555,7bca6bd111ec7114036de0091a0463d42aeadcd9cb6cb545b1f39ad19b1b0f99,55,72,27.367,35.87,0.001894,63,0.720455,0.037121,0.0,69.00697,
drop,7,tiny_file|small_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile132.png,ey-frd-series-spring-2025,17,1166,1016e98ddccd7fa3e4fa12ecd954b7ca7ad580e98d3ca88194026b4ae9692267,79,72,39.459,35.87,0.00273,101,0.626934,0.057841,0.0,62.137154,
drop,4,small_file|small_bbox|header_footer_or_margin,ey-frd-series-spring-2025_images/imageFile133.png,ey-frd-series-spring-2025,17,2464,4487e9b11f355692e8bc6dd1c68f7d87aea3641dbd3041fbad3169ca4f93c06b,135,85,67.695,42.278,0.005521,275,0.747974,0.0,0.0,35.594168,
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile134.png,ey-frd-series-spring-2025,18,295377,f7ab4bd53619e9cd8cde1cd007d978e620b5a45e71c79e87c20bc9b8bcc56fed,1919,1080,960.0,540.0,1.0,,,,,,pixel_sampling_skipped_large_png
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile135.png,ey-frd-series-spring-2025,18,607,68e14b589fdda2564515476e687aa2d63cb4de1212ac449d76c24bca25bb1250,23,55,11.397,27.257,0.000599,58,0.718577,0.192095,0.0,55.994134,
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile136.png,ey-frd-series-spring-2025,19,293519,7d5b5e2da3f32032c34e7d3c1fdeac8ee9d989d99aadc76c7ae5579546d7373a,1919,1080,960.0,540.0,1.0,,,,,,pixel_sampling_skipped_large_png
drop,7,tiny_file|small_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile137.png,ey-frd-series-spring-2025,19,1242,5d4ba6a74344ff27f170d759b6bede8fde88ae6e498df534e7ac5248acd634e5,57,80,28.573,40.198,0.002216,110,0.467105,0.0,0.0,59.473159,
drop,7,tiny_file|small_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile138.png,ey-frd-series-spring-2025,19,944,89c1dcd6fdd1a365fd96710fc51e7c04aa66d4e832868b18625ad8ffad11eff2,82,81,41.19,40.631,0.003228,80,0.74586,0.0,0.0,53.809517,
drop,5,small_file|small_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile139.png,ey-frd-series-spring-2025,19,3456,b14b492f54b0b448218b436bb202b99a736501cf2e26ca358d14c8f4497997cf,90,77,45.086,38.405,0.00334,239,0.570707,0.0,0.0,65.860157,
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile14.png,ey-frd-series-spring-2025,6,771,3176cb6c14cba4d7fdf3ff05efcdfd748dcb6c287d95aa89953d0fc8a0c2d69c,43,44,21.657,22.214,0.000928,97,0.633721,0.092495,0.0,64.153376,
drop,14,tiny_file|tiny_pixel_asset|tiny_bbox|few_sample_colors|repeated_exact_in_document:3,ey-frd-series-spring-2025_images/imageFile140.png,ey-frd-series-spring-2025,19,143,ab2ec8422855f3b2056fdcfb6c82d063c45f78170d49aef9337c078db1db100e,29,32,14.4,15.84,0.00044,2,0.77694,0.0,0.0,71.477201,
drop,12,tiny_file|tiny_pixel_asset|tiny_bbox|few_sample_colors,ey-frd-series-spring-2025_images/imageFile141.png,ey-frd-series-spring-2025,19,139,83cccf12fb5bb9436777dfccbb100dedd9a616de2e9458da5a545da8b6597a14,29,32,14.4,15.84,0.00044,2,0.799569,0.0,0.0,68.734243,
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile142.png,ey-frd-series-spring-2025,19,244,79bfb5b0e69e903664313b9c127442cc2ea9e59f4af033d834b31c95f565d8e2,29,32,14.4,15.84,0.00044,9,0.588362,0.0,0.0,72.07973,
drop,10,tiny_file|tiny_pixel_asset|tiny_bbox|limited_sample_colors,ey-frd-series-spring-2025_images/imageFile143.png,ey-frd-series-spring-2025,19,204,ee7887faf59a226bd1f97131960a0ea98bf7b336dc85fc5662873e3e514b5fac,29,32,14.4,15.84,0.00044,7,0.682112,0.0,0.0,73.479837,
drop,14,tiny_file|tiny_pixel_asset|tiny_bbox|few_sample_colors|repeated_exact_in_document:3,ey-frd-series-spring-2025_images/imageFile144.png,ey-frd-series-spring-2025,19,143,ab2ec8422855f3b2056fdcfb6c82d063c45f78170d49aef9337c078db1db100e,29,32,14.4,15.84,0.00044,2,0.77694,0.0,0.0,71.477201,
drop,12,tiny_file|tiny_pixel_asset|tiny_bbox|few_sample_colors,ey-frd-series-spring-2025_images/imageFile145.png,ey-frd-series-spring-2025,19,139,83cccf12fb5bb9436777dfccbb100dedd9a616de2e9458da5a545da8b6597a14,29,32,14.4,15.84,0.00044,2,0.799569,0.0,0.0,68.734243,
drop,10,tiny_file|tiny_pixel_asset|tiny_bbox|limited_sample_colors,ey-frd-series-spring-2025_images/imageFile146.png,ey-frd-series-spring-2025,19,269,dd1aa41bac1ff94f8c200070a778344925411d5949f6264a90e78c9b7ac11921,29,32,14.4,15.84,0.00044,8,0.594828,0.0,0.0,73.402798,
drop,14,tiny_file|tiny_pixel_asset|tiny_bbox|few_sample_colors|repeated_exact_in_document:3,ey-frd-series-spring-2025_images/imageFile147.png,ey-frd-series-spring-2025,19,143,ab2ec8422855f3b2056fdcfb6c82d063c45f78170d49aef9337c078db1db100e,29,32,14.4,15.84,0.00044,2,0.77694,0.0,0.0,71.477201,
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile148.png,ey-frd-series-spring-2025,20,271468,4b66761e5f6a2f4100ba6ef8e940eca9f8c9fefb7dfd0651071278df9416208a,1919,1080,960.0,540.0,1.0,,,,,,pixel_sampling_skipped_large_png
review,3,page_background_with_text_layer,ey-frd-series-spring-2025_images/imageFile149.png,ey-frd-series-spring-2025,21,304615,9ac83219e041a2094d1808055d9a5853fb2c98a5c05b9e1ab49e78248aa1d12c,1919,1080,960.0,540.0,0.999769,,,,,,pixel_sampling_skipped_large_png
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile15.png,ey-frd-series-spring-2025,6,154,712011e8411683375586522aa4fdf66a0cebf3e72564788035bb6b1b353a3024,7,6,3.301,3.247,2.1e-05,21,0.357143,0.095238,0.0,60.928142,
drop,7,tiny_file|small_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile150.png,ey-frd-series-spring-2025,21,755,92f9e5f623a6c58aeaaa957789941542f31708ea75488610626363d4e51b3cdf,69,93,34.325,46.383,0.00307,71,0.702041,0.0,0.0,56.078258,
drop,9,tiny_file|tiny_pixel_asset|tiny_bbox,ey-frd-series-spring-2025_images/imageFile151.png,ey-frd-series-spring-2025,21,435,eada638d36082baee6895243ba46c3855fb503ba539eb253e5aba63b6e17c5e2,45,64,22.512,32.159,0.001396,41,0.682292,0.0,0.0,56.595444,
drop,6,small_file|tiny_pixel_asset|small_bbox,ey-frd-series-spring-2025_images/imageFile152.png,ey-frd-series-spring-2025,21,1958,90b4640863f5336d517609a978494659504fa533964d6427cba94fcfc45feb3a,58,49,28.805,24.537,0.001363,204,0.539761,0.0,0.0,58.253439,
